description,prediction,template,correct template,correct command
"","find . -name __SP__UNK -exec rename __SP__UNK {} \;","find Path -name Regex -exec rename Regex {} \;",missing flag,
"","find . -name __SP__UNK -exec mv {} __SP__UNK \;","find Path -name Regex -exec mv {} File \;",missing flag,
"","mv $(tree -f thumbs)","mv $( tree -f Directory )",wrong utility,
"","find . -name __SP__UNK -exec rename __SP__UNK {} \;","find Path -name Regex -exec rename Regex {} \;",missing flag,
"","mv ""thumbs"" ""thumb""","mv File File",missing flag,
"","mv $(find . -name __SP__UNK -type d)","mv $( find Path -name Regex -type d )",missing argument,
"find imag file and move them to pictur directori","find . -name __SP__UNK | xargs -0 -I {} mv {} __SP__UNK","find Path -name Regex | xargs -0 -I {} mv {} File",y,
"","find . -name ""*"" -exec mv {} [file] \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name __SP__UNK -exec mv {} pictures \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -iname ""MyCProgram.jpg"" -exec mv {} __SP__UNK \;","find Path -iname Regex -exec mv {} File \;",y,
"","find . -name pictures -exec mv {} pictures \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name ""*.old"" -exec mv {} __SP__UNK \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name ""*"" -exec mv {} [file] \;","find Path -name Regex -exec mv {} File \;",y,
"","find . -name ""*.jpg"" -exec mv {} __SP__UNK {} +","find Path -name Regex -exec mv {} File {} +",y,
"chang permiss of all regular file to 644 in folder /home/nobody/public_html","find __SP__UNK -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,
"","find ""/home/nobody/public_html"" -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} +","find Path -type f -exec chmod Permission {} +",y,y
"","find __SP__UNK -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,
"","find ""/home/nobody/public_html"" -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /home/nobody/public_html -type f -exec chmod 644 {} +","find Path -type f -exec chmod Permission {} +",y,y
"show all "".acc"" file in folder /home","find /home -type f -name __SP__UNK","find Path -type f -name Regex",y,
"","find ""/home"" -type f -name "".acc""","find Path -type f -name Regex",y,missing string in argument
"","find /home -type f -name '*.mp3'","find Path -type f -name Regex",y,
"","find /home -name ""*.__SP__UNK""","find Path -name Regex",y,
"","find /home -type f -name '*.acc'","find Path -type f -name Regex",y,y
"","find /home -type f -name __SP__UNK","find Path -type f -name Regex",y,
"","find "".acc"" -type f -name ""/home""","find Path -type f -name Regex",y,
"","find /home -name ""*.__SP__UNK""","find Path -name Regex",y,
"delet all directori found in $LOGDIR that are more than a work-week old","find __SP__UNK -type d -size +1000 -exec rm -r -f {} \;","find Path -type d -size +Size -exec rm -r -f {} \;",wrong flag,
"","find ""$LOGDIR"" -type d -mtime [timespan] -exec rm -f {} \;","find Path -type d -mtime Timespan -exec rm -f {} \;",missing flag,
"","find $LOGDIR -type d -mtime +2 -exec rm -f {} \;","find Path -type d -mtime +Timespan -exec rm -f {} \;",missing flag,
"","find $__SP__UNK -type d -mtime +7 -delete","find Path -type d -mtime +Timespan -delete",y,
"","find ""$LOGDIR"" -type d -mtime +a -exec rm {} \;","find Path -type d -mtime +Timespan -exec rm {} \;",missing flag,quantity convertion error
"","find __SP__UNK -type d -name __SP__UNK | xargs -0 -I {} rm -r -f {}","find Path -type d -name Regex | xargs -0 -I {} rm -r -f {}",,
"","find ""$LOGDIR"" -type d -mtime [timespan] -delete","find Path -type d -mtime Timespan -delete",y,
"","find $__SP__UNK -type d -mtime +0 -exec rm -f {} \;","find Path -type d -mtime +Timespan -exec rm -f {} \;",missing flag,
"search for all *.conf file in entir file system","find / -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""*.conf""","find Path -name Regex",y,y
"","find / -name *.conf ","find Path -name Regex",y,
"","find / -name ""*.conf""","find Path -name Regex",y,y
"","find / -name ""*.conf""","find Path -name Regex",y,y
"","find / -name __SP__UNK ","find Path -name Regex",y,
"","find . -name ""*.conf""","find Path -name Regex",y,y
"","find / -name ""*.conf""","find Path -name Regex",y,y
"make directori name in variabl ""archive"" with "".tar*"" strip from end","mkdir __SP__UNK","mkdir Directory",y,
"","mkdir $(cat "".tar*"" | rev | cut -d Regex -f [number] | rev | cut -d Regex -f [number] | rev | cut -d ""archive"" -f [number])","mkdir $( cat File | rev | cut -d Regex -f Number | rev | cut -d Regex -f Number | rev | cut -d Regex -f Number )",extra utility,
"","mkdir __SP__UNK","mkdir Directory",y,
"","mkdir -p ""$__SP__UNK""","mkdir -p Directory",y,
"","mkdir -p $archive","mkdir -p Directory",y,
"","mkdir __SP__UNK","mkdir Directory",y,
"","mkdir -p $(find "".tar*"" -type d -name ""archive"")","mkdir -p $( find Path -type d -name Regex )",wrong utility,
"","mkdir -p .tar/","mkdir -p Directory",y,
"display standard input as a tabl with ""${tab}"" separ","column -s : -t","column -s Regex -t",y,
"","column -s ""${tab}"" -t","column -s Regex -t",y,y
"","column -s :","column -s Regex",y,
"","column -t | column -t","column -t | column -t",missing flag,
"","column -s ${tab} ${tab}","column -s Regex File",rare utility,
"","column -s :","column -s Regex",y,
"","column -s ""${tab}""","column -s Regex",y,
"","column -s ""${line}""","column -s Regex",y,
"find all file under var/ directori and chang permiss to 600","find __SP__UNK -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,
"","find ""var/"" -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find var/ -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find var/ -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find var/ -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find __SP__UNK -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,
"","find ""var/"" -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find var/ -type f -exec chmod 600 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"search for file onli that end with .php and look for string $test insid those file","find . -name '*.[ch]' | xargs -I {} grep -E 'expr' {}","find Path -name Regex | xargs -I {} grep -E Regex {}",y,
"","find . -name ""*.php"" -exec grep -H -n ""$test"" {} \;","find Path -name Regex -exec grep -H -n Regex {} \;",y,y
"","find . -name ""*.java"" -exec grep __SP__UNK {} \;","find Path -name Regex -exec grep Regex {} \;",y,
"","find . -type f -name ""*.php"" -exec grep -H -n ""$test"" {} \;","find Path -type f -name Regex -exec grep -H -n Regex {} \;",y,y
"","find . -type f -name ""*.php"" -exec grep -H -n ""$test"" {} \;","find Path -type f -name Regex -exec grep -H -n Regex {} \;",y,y
"","find . -name '*.[ch]' | xargs -I {} grep -E __SP__UNK {}","find Path -name Regex | xargs -I {} grep -E Regex {}",y,
"","find "".php"" -name ""$test"" -type f ","find Path -name Regex -type f",missing utility,
"","find . -name ""*.php"" | xargs -0 -I {} grep -l ""test"" {}","find Path -name Regex | xargs -0 -I {} grep -l Regex {}",y,y
"display all file which been modifi between 2 date in current folder","find . -type f -newermt __SP__UNK ! -newermt __SP__UNK","find Path -type f -newermt Regex ! -newermt Regex",y,
"","find . -type f -newermt Regex ! -newermt 2 ! -newermt Regex","find Path -type f -newermt Regex ! -newermt Regex ! -newermt Regex",extra flag,
"","find . -newermt __SP__UNK -and ! -newermt __SP__UNK","find Path -newermt Regex -and ! -newermt Regex",y,
"","find . -type f -newermt ""__SP__UNK __SP__UNK __SP__UNK"" ! -newermt 2013-__SP__UNK-__SP__UNK ! -newermt __SP__UNK-__SP__UNK-","find Path -type f -newermt Regex ! -newermt Regex ! -newermt Regex",extra flag,
"","find . -newermt ""__SP__UNK __SP__UNK __SP__UNK"" ! -newermt ""__SP__UNK 10 __SP__UNK""","find Path -newermt Regex ! -newermt Regex",y,
"","find . -newermt __SP__UNK -and ! -newermt __SP__UNK","find Path -newermt Regex -and ! -newermt Regex",y,
"","find . -newermt [regex] -and ! -newermt 2","find Path -newermt Regex -and ! -newermt Regex",y,
"","find . -newermt ""__SP__UNK 1 __SP__UNK"" -and ! -newermt ""__SP__UNK __SP__UNK""","find Path -newermt Regex -and ! -newermt Regex",y,
"chang owner of file process to user root","chown root __SP__UNK","chown Regex File",y,
"","chown Regex [file]","chown Regex File",y,
"","chown root root","chown Regex File",y,
"","chown root process","chown Regex File",y,y
"","chown root process","chown Regex File",y,y
"","chown root __SP__UNK","chown Regex File",y,
"","chown [regex] [file]","chown Regex File",y,
"","chown root","chown Regex",missing argument,
"find all file with name ""MyProgram.c"" in current directori and all of it 's sub-directori","find . -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""MyProgram.c""","find Path -name Regex",y,y
"","find . -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""__SP__UNK.c""","find Path -name Regex",y,
"","find . -name MyProgram.c","find Path -name Regex",y,y
"","find . -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""MyProgram.c""","find Path -name Regex",y,y
"","find . -name __SP__UNK.c","find Path -name Regex",y,
"find all file under current directori filter output through a regular express to find ani line that contain word foo or bar","find . -type f | xargs -0 -I {} grep -i -l __SP__UNK {}","find Path -type f | xargs -0 -I {} grep -i -l Regex {}",extra utility,
"","find . -type f | grep -P '.*'","find Path -type f | grep -P Regex",y,
"","find . -type f | xargs -0 -I {} grep foo {}","find Path -type f | xargs -0 -I {} grep Regex {}",extra utility,
"","find . -type f -exec grep -i -l ""foo"" {} \;","find Path -type f -exec grep -i -l Regex {} \;",extra utility,
"","find . -type f -exec grep -H foo {} +","find Path -type f -exec grep -H Regex {} +",extra utility,
"","find . -type f | xargs -0 -I {} grep -i -l __SP__UNK {}","find Path -type f | xargs -0 -I {} grep -i -l Regex {}",extra utility,
"","find . -type f | xargs -0 -I {} grep -i -l '.*' {}","find Path -type f | xargs -0 -I {} grep -i -l Regex {}",extra utility,
"","find . -type f -exec grep -i ""foo"" {} \;","find Path -type f -exec grep -i Regex {} \;",extra utility,
"chang owner of ""$JBOSS_CONSOLE_LOG"" to ""$JBOSS_USER""","chown __SP__UNK __SP__UNK","chown Regex File",y,
"","chown ""$JBOSS_USER"" ""$JBOSS_CONSOLE_LOG""","chown Regex File",y,y
"","chown __SP__UNK __SP__UNK","chown Regex File",y,
"","chown $JBOSS_AS_USER:$JBOSS_USER $JBOSS_AS_USER","chown Regex File",y,
"","chown $JBOSS_CONSOLE_LOG $JBOSS_USER_LOG","chown Regex File",y,
"","chown __SP__UNK __SP__UNK","chown Regex File",y,
"","chown ""$JBOSS_CONSOLE_LOG"" ""$JBOSS_USER""","chown Regex File",y,
"","chown $JBOSS_AS_USER $JBOSS_AS_USER","chown Regex File",y,
"find all file that been modifi exact 24 hour ago","find . -mtime 1","find Path -mtime Timespan",y,y
"","find . -mtime 24h","find Path -mtime Timespan",y,y
"","find . -mtime 1","find Path -mtime Timespan",y,y
"","find . -mtime 1","find Path -mtime Timespan",y,y
"","find . -mtime 1","find Path -mtime Timespan",y,y
"","find . -mtime 1","find Path -mtime Timespan",y,y
"","find . -mtime 24h","find Path -mtime Timespan",y,y
"","find . -mtime 1","find Path -mtime Timespan",y,y
"search system for file and directori own by group 'managers'","find / -group __SP__UNK","find Path -group Regex",y,
"","find ""managers"" -group Regex","find Path -group Regex",y,
"","find / -group __SP__UNK","find Path -group Regex",y,
"","find / -group __SP__UNK","find Path -group Regex",y,
"","find / -group managers","find Path -group Regex",y,y
"","find / -group __SP__UNK","find Path -group Regex",y,
"","find . -group ""managers""","find Path -group Regex",y,y
"","find / -group __SP__UNK","find Path -group Regex",y,
"creat a symbol link name "".bashrc"" to file "".bash_profile""","ln -s __SP__UNK __SP__UNK","ln -s File Regex",y,
"","ln -s "".bashrc"" "".bash_profile""","ln -s File Regex",y,y
"","ln -s __SP__UNK __SP__UNK","ln -s File Regex",y,
"","ln -s .bash_profile .bash","ln -s File Regex",y,
"","ln -s .bash_profile","ln -s File",missing argument,
"","ln -s __SP__UNK __SP__UNK","ln -s File Regex",y,
"","ln -s "".bashrc"" "".bash_profile""","ln -s File Regex",y,y
"","ln -s .bash_profile __SP__UNK","ln -s File Regex",y,
"find all directori under current directori and make them read write and execut for owner & group and remov read-write-execut permiss for other","find . -type d -exec chmod __SP__UNK {} \;","find Path -type d -exec chmod Permission {} \;",y,
"","find ""&"" -type d -exec chmod [permission] {} \;","find Path -type d -exec chmod Permission {} \;",y,
"","find . -type d | xargs -0 -I {} chmod __SP__UNK {}","find Path -type d | xargs -0 -I {} chmod Permission {}",y,
"","find . -type d -exec chmod ug=rwx,o= {} \;","find Path -type d -exec chmod Permission {} \;",y,y
"","find . -type d -exec chmod ug=rwx,o= {} \;","find Path -type d -exec chmod Permission {} \;",y,y
"","find . -type d -exec chmod __SP__UNK {} \;","find Path -type d -exec chmod Permission {} \;",y,
"","find ""&"" -type d -exec chmod [permission] {} \;","find Path -type d -exec chmod Permission {} \;",y,
"","find . -type d -exec chmod u=rwx,g=rx,o= {} \;","find Path -type d -exec chmod Permission {} \;",y,
"recurs chang group ownership of everyth within a current directori to 'repogroup'","chgrp -R git ./","chgrp -R Regex File",y,
"","chgrp -R ""repogroup"" [file]","chgrp -R Regex File",y,
"","chgrp -R git ./","chgrp -R Regex File",y,
"","chgrp -R __SP__UNK */","chgrp -R Regex File",y,
"","chgrp -R repogroup .","chgrp -R Regex File",y,y
"","chgrp -R __SP__UNK *","chgrp -R Regex File",y,
"","chgrp -R [regex] ""repogroup""","chgrp -R Regex File",y,
"","chgrp -R git ./","chgrp -R Regex File",y,
"search in current directori downward all file whose size is 10 block","find . -size __SP__UNK ","find Path -size Size",y,
"","find . -size +10c ","find Path -size +Size",y,y
"","find . -size __SP__UNK ","find Path -size Size",y,
"","find . -size +10M ","find Path -size +Size",y,
"","find . -size +10M ","find Path -size +Size",y,
"","find . -size __SP__UNK ","find Path -size Size",y,
"","find . -size -10c ","find Path -size -Size",y,n
"","find . -size 10c ","find Path -size Size",y,y
"chang permiss to 644 for all regular file under and below /path/to/someDirectory/","find /home/user/demo -type f | xargs -I {} chmod 644 {}","find Path -type f | xargs -I {} chmod Permission {}",y,
"","find ""/path/to/someDirectory/"" -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /path/to/someDirectory/ -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /path/to/__SP__UNK/ -type f | xargs -0 -I {} chmod 644 {}","find Path -type f | xargs -0 -I {} chmod Permission {}",y,
"","find /path/to/someDirectory/ -type f | xargs -0 -I {} chmod 644 {}","find Path -type f | xargs -0 -I {} chmod Permission {}",y,y
"","find /home/user/demo -type f | xargs -0 -I {} chmod 644 {}","find Path -type f | xargs -0 -I {} chmod Permission {}",y,
"","find ""/path/to/someDirectory/"" -type f -exec chmod 644 {} \;","find Path -type f -exec chmod Permission {} \;",y,y
"","find /path/to/__SP__UNK/ -type f -exec chmod 644 {} +","find Path -type f -exec chmod Permission {} +",y,
"split ""date.csv"" into file with at most 100 line each","split -l 100 __SP__UNK","split -l Quantity File",y,
"","split -l 100 ""date.csv""","split -l Quantity File",y,y
"","split -l 100 __SP__UNK","split -l Quantity File",y,
"","split -l 100 date.csv","split -l Quantity File",y,y
"","split -l 100 date.csv","split -l Quantity File",y,y
"","split -l 100 __SP__UNK","split -l Quantity File",y,
"","split -l 100 ""date.csv""","split -l Quantity File",y,y
"","split -l 100 date.csv","split -l Quantity File",y,y
"display list of all regular file in home folder which are bigger than 512 kb","find ~ -size __SP__UNK -type f ","find Path -size Size -type f",y,
"","find . -type f -size +512k -exec ls -l {} \;","find Path -type f -size +Size -exec ls -l {} \;",y,y
"","find ~ -size __SP__UNK ","find Path -size Size",y,
"","find ~ -size +__SP__UNKk","find Path -size +Size",y,
"","find ~ -type f -size +__SP__UNKk -exec ls -l {} \;","find Path -type f -size +Size -exec ls -l {} \;",y,
"","find ~ -type f -size __SP__UNK | xargs -I {} ls -l {}","find Path -type f -size Size | xargs -I {} ls -l {}",y,
"","find . -type f -size +512k -exec ls -l {} \;","find Path -type f -size +Size -exec ls -l {} \;",y,y
"","find /home -type f -size +__SP__UNKk ","find Path -type f -size +Size",y,
"display first 10 line of byte hex dump with no file offset data for ""/bin/ls""","od -c __SP__UNK | head - 2","od -c File | head - Quantity",wrong flag,
"","head - [quantity] [file] | cut -f [number] -d ""/bin/ls"" | head - 10","head - Quantity File | cut -f Number -d Regex | head - Quantity",wrong utility,
"","od -a 10 | cut -c __SP__UNK","od -a File | cut -c Number",wrong flag,
"","cut -d ' ' -f 1 /bin/ | head -n 10","cut -d Regex -f Number File | head -n Quantity",wrong flag,
"","find . -name '*.[ch]' | head -n 10","find Path -name Regex | head -n Quantity",wrong utility,
"","od -c foo | head - 1","od -c File | head - Quantity",wrong flag,
"","head -c 10 ""/bin/ls""","head -c Quantity File",wrong utility,
"","od -a /bin/of | head -n 1","od -a File | head -n Quantity",wrong flag,
"print file content of command ""f""","cat $(which __SP__UNK)","cat $( which Regex )",y,
"","cat $(which ""f"")","cat $( which Regex )",y,y
"","cat __SP__UNK","cat File",missing utility,
"","cat f*","cat File",missing utility,
"","cat f","cat File",missing utility,
"","cat $(which c++)","cat $( which Regex )",y,
"","cat $(which ""f"")","cat $( which Regex )",y,y
"","cat $(which f)","cat $( which Regex )",y,y
"replac ani occur of '*favicon.ico*' in ani subfold with file '/root/favicon.ico'","echo __SP__UNK | grep -E -o __SP__UNK","echo Regex | grep -E -o Regex",wrong utility,
"","rename ""*favicon.ico*"" ""/root/favicon.ico""","rename Regex Regex",wrong utility,
"","echo '*favicon.ico*' | grep -E -o __SP__UNK","echo Regex | grep -E -o Regex",wrong utility,
"","find /root/Maildir/__SP__UNK/__SP__UNK -name '*__SP__UNK.__SP__UNK*' | xargs -0 -I {}","find Path -name Regex | xargs -0 -I {}",wrong utility,
"","ls /root/favicon.ico /root/favicon.ico","ls File File",wrong utility,
"","grep __SP__UNK __SP__UNK | cut -d : -f 2 | sort | uniq","grep Regex File | cut -d Regex -f Number | sort | uniq",wrong utility,
"","find . -maxdepth [quantity] -name ""*favicon.ico*"" | xargs -0 -I {} grep -L ""/root/favicon.ico"" {}","find Path -maxdepth Quantity -name Regex | xargs -0 -I {} grep -L Regex {}",wrong utility,
"","grep -v '^__SP__UNK.__SP__UNK' */root/__SP__UNK.__SP__UNK","grep -v Regex File",wrong utility,
"read a line from standard input into variabl ""YESNO"" ignor backslash escap and use prompt ""$ ? [y/N] ""","read -r -p __SP__UNK response","read -r -p Regex Regex",y,
"","read -r -p ""[y/N]"" ""YESNO""","read -r -p Regex Regex",y,
"","read -r -p ""$ ? [y/N] "" response","read -r -p Regex Regex",y,
"","read -p ""$Are you sure? [y/N] "" __SP__UNK","read -p Regex Regex",missing flag,
"","read -r -p ""$ ? [y/N] "" YESNO","read -r -p Regex Regex",y,
"","read -r -p __SP__UNK response","read -r -p Regex Regex",y,
"","read -r -p ""YESNO"" ""[y/N]""","read -r -p Regex Regex",y,
"","read -p ""$Are you sure? [y/N] "" response","read -p Regex Regex",y,
"resolv symbol link of file ""/foo/bar/baz""","readlink $(which __SP__UNK)","readlink $( which Regex )",extra utility,
"","find -L ""/foo/bar/baz"" -samefile Regex","find -L Path -samefile Regex",wrong utility,
"","readlink -f ""/foo/bar/baz""","readlink -f File",wrong flag,
"","readlink -f /foo/bar/baz","readlink -f File",wrong flag,
"","readlink -f /foo/bar/baz","readlink -f File",wrong flag,
"","readlink $(which __SP__UNK)","readlink $( which Regex )",extra utility,
"","readlink $(which ""/foo/bar/baz"")","readlink $( which Regex )",extra utility,
"","readlink -f /foo/bar/baz","readlink -f File",wrong flag,
"find all file in current directori tree whose size is greater than 1mb and move them to ""files"" folder with confirm","find . -size +1M -ok mv {} files __SP__UNK \;","find Path -size +Size -ok mv {} File File \;",extra argument,
"","find . -size +1M -exec mv {} ""files"" \;","find Path -size +Size -exec mv {} File \;",rare flag,
"","find . -size +1M | xargs -0 -I {} mv {} files","find Path -size +Size | xargs -0 -I {} mv {} File",rare flag,
"","find . -size +1M -exec mv {} files +","find Path -size +Size -exec mv {} File +",rare flag,
"","find . -size +1M -exec mv {} files +","find Path -size +Size -exec mv {} File +",rare flag,
"","find . -size +1M -ok mv {} files __SP__UNK \;","find Path -size +Size -ok mv {} File File \;",extra argument,
"","find . -size +1M | xargs -0 -I {} mv {} ""files""","find Path -size +Size | xargs -0 -I {} mv {} File",rare flag,
"","find . -size +1M -exec mv {} files +","find Path -size +Size -exec mv {} File +",rare flag,
"search everywher for directori name 'root'","find __SP__UNK -name __SP__UNK -type d","find Path -name Regex -type d",y,
"","find . -type d -name ""root""","find Path -type d -name Regex",y,y
"","find everywhere -type d -name __SP__UNK","find Path -type d -name Regex",y,
"","find __SP__UNK -name root","find Path -name Regex",missing flag,
"","find / -name root","find Path -name Regex",missing flag,
"","find __SP__UNK -name __SP__UNK -type d","find Path -name Regex -type d",y,
"","find . -name ""root"" -type d","find Path -name Regex -type d",y,y
"","find / -name root","find Path -name Regex",missing flag,
"creat temporari folder within a $mnt_dir folder and save path to it in a 'rsync_src' variabl","mktemp -d __SP__UNK","mktemp -d Regex",missing flag,
"","mktemp -d | xargs -I {} dirname {} | sort -R | cut -d ""rsync_src"" -f [number] | xargs -I {} dirname {} | sort --unique | tee ""$mnt_dir""","mktemp -d | xargs -I {} dirname {} | sort -R | cut -d Regex -f Number | xargs -I {} dirname {} | sort --unique | tee File",extra utility,
"","mktemp -d __SP__UNK","mktemp -d Regex",missing flag,
"","mktemp -d $(dirname ""$mnt_dir"")","mktemp -d $( dirname Regex )",missing flag,
"","mktemp -d $mnt_dir","mktemp -d Regex",missing flag,
"","mktemp -d --tmpdir=/tmp","mktemp -d --tmpdir Directory",missing flag,
"","
","",,
"","mktemp -d -t $(dirname ""$__SP__UNK_dir"")","mktemp -d -t $( dirname Regex )",rare flag,
"copi ${FILE} to collect folder with uniqu name format like 'job_XXXXXXXXX'","cp -f __SP__UNK __SP__UNK","cp -f File File",y,
"","cp -n ""${FILE}"" ""job_XXXXXXXXX""","cp -n File File",y,
"","rsync __SP__UNK __SP__UNK","rsync File File",y,
"","cp ${__SP__UNK}/${__SP__UNK} __SP__UNK___SP__UNK","cp File File",y,
"","cp -r ${FILE} job_XXXXXXXXX job_XXXXXXXXX","cp -r File File File",extra argument,
"","rsync -r -v --dry-run __SP__UNK __SP__UNK","rsync -r -v --dry-run File File",y,
"","cp ""${FILE}"" ""job_XXXXXXXXX""","cp File File",y,
"","cp -p ${__SP__UNK___SP__UNK}","cp -p File",missing argument,
"print work directori separ by newlin instead of forward slash","find . -maxdepth 1 -mindepth 1 -type d -printf '%f\n'","find Path -maxdepth Quantity -mindepth Quantity -type d -printf '%f\n'",rare utility,
"","pwd -P","pwd -P",missing utility,
"","echo slashes | cut -d '/' -f 3","echo Regex | cut -d Regex -f Number",rare utility,
"","dirname $(readlink -f ""$0"")","dirname $( readlink -f File )",rare utility,
"","echo $(pwd)","echo $( pwd )",missing utility,
"","echo $(pwd)","echo $( pwd )",missing utility,
"","echo $(readlink -e [file])","echo $( readlink -e File )",wrong utility,
"","echo ""$FILE"" | cut -d '.' -f 2-","echo Regex | cut -d Regex -f Number",rare utility,
"creat directori aaa/bbb","mkdir __SP__UNK","mkdir Directory",y,
"","mkdir ""aaa/bbb""","mkdir Directory",y,y
"","mkdir aaa/bbb","mkdir Directory",y,y
"","mkdir aaa/__SP__UNK","mkdir Directory",y,
"","mkdir aaa/bbb","mkdir Directory",y,y
"","mkdir __SP__UNK","mkdir Directory",y,
"","mkdir ""aaa/bbb""","mkdir Directory",y,y
"","mkdir aaa/__SP__UNK","mkdir Directory",y,
