description,prediction,template,correct template,correct command
"print number from 1 to 100","seq 1 10 | xargs -I {} echo {}","seq Number Number | xargs -I {} echo {}",y,
"","seq 100 | xargs -P 1 -I {} echo {}","seq Number | xargs -P Quantity -I {} echo {}",missing argument,
"","seq 100 100 | xargs -I {} echo {}","seq Number Number | xargs -I {} echo {}",y,
"","seq -w 1","seq -w Number",wrong flag,
"","seq 100 100","seq Number Number",y,cross copy
"","seq -w 1","seq -w Number",wrong flag,
"","seq 1 | xargs -n 100 -I {} echo {}","seq Number | xargs -n Quantity -I {} echo {}",missing argument,
"","seq -w 1","seq -w Number",wrong flag,
"find all regular file recurs in current directori","find . -type f","find Path -type f",y,y
"","find . -type f","find Path -type f",y,y
"","find . -type f","find Path -type f",y,y
"","find . -type f","find Path -type f",y,y
"","find . -type f","find Path -type f",y,y
"","find . -type f","find Path -type f",y,y
"","find . -type f","find Path -type f",y,y
"","find . -type f","find Path -type f",y,y
"make a symbol link between /Applications/Sublime Text.app/Contents/SharedSupport/bin/subl and ~/bin/subl","ln -s __SP__UNK __SP__UNK","ln -s File Regex",y,
"","gzip -d -c ""Text.app/Contents/SharedSupport/bin/subl"" | grep -P '.*' | grep -P ""~/bin/subl"" | cut -d Regex -f [number] | grep -E -o ""/Applications/Sublime"" | cut -d Regex -f [number]","gzip -d -c Regex | grep -P Regex | grep -P Regex | cut -d Regex -f Number | grep -E -o Regex | cut -d Regex -f Number",extra argument,
"","ln -s __SP__UNK ~/bin/subl","ln -s File Regex",y,
"","ln -s /Applications/Sublime\ Text.app/Contents/SharedSupport/bin/subl ~/bin/subl","ln -s File Regex",y,
"","ln -s /Applications/SublimeText.app/Contents/SharedSupport/bin/subl ~/bin/subl","ln -s File Regex",y,
"","ln -s __SP__UNK __SP__UNK","ln -s File Regex",y,
"","ping ""Text.app/Contents/SharedSupport/bin/subl"" ln -s ""/Applications/Sublime"" ""~/bin/subl""","ping Regex Regex -s Quantity Regex",extra argument,
"","ln -s /Applications/Sublime\ Text.app/Contents/SharedSupport/bin/subl ~/bin/subl","ln -s File Regex",y,
"search for directori ""mysql"" in /etc folder","find /etc -type d ","find Path -type d",y,
"","find ""/etc"" -type d -name ""mysql""","find Path -type d -name Regex",y,y
"","find /etc -type d -name ""mysql""","find Path -type d -name Regex",y,y
"","find /etc -name ""*.conf"" | xargs -I {} grep ""Linux"" {}","find Path -name Regex | xargs -I {} grep Regex {}",missing flag,
"","find /etc -type d -name mysql ","find Path -type d -name Regex",y,y
"","find /etc -type d -name __SP__UNK ","find Path -type d -name Regex",y,
"","find ""mysql"" -name ""/etc"" -type d","find Path -name Regex -type d",y,y
"","find /etc -name '*.conf'","find Path -name Regex",missing flag,
"display all regular file in current folder that are bigger than 10kb","find . -type f -size +10k","find Path -type f -size +Size",y,y
"","find . -type f -size +10k","find Path -type f -size +Size",y,y
"","find . -type f -size +10k","find Path -type f -size +Size",y,y
"","find . -type f -size +10k","find Path -type f -size +Size",y,y
"","find . -type f -size +10k","find Path -type f -size +Size",y,y
"","find . -type f -size +10k","find Path -type f -size +Size",y,y
"","find . -type f -size +10k","find Path -type f -size +Size",y,y
"","find . -type f -size +10k","find Path -type f -size +Size",y,y
"find all read onli file in /home directori","find /home -type f -perm 0777 ","find Path -type f -perm Permission",y,
"","find ""/home"" -perm [permission]","find Path -perm Permission",y,
"","find /home -name ""*.gz""","find Path -name Regex",missing flag,
"","find /home -type f -perm 0777 ","find Path -type f -perm Permission",y,
"","find /home -perm /u=r","find Path -perm Permission",y,y
"","find /home -type f -perm /a=x","find Path -type f -perm Permission",y,
"","find . -type f -name ""/home""","find Path -type f -name Regex",missing flag,
"","find /home -type f -perm /u=r","find Path -type f -perm Permission",y,y
"list subdirectori in current directori","ls -d -- */","ls -d -- File",y,y
"","ls -d -- [file]","ls -d -- File",y,n
"","ls -d -- */","ls -d -- File",y,y
"","ls -d -- */","ls -d -- File",y,y
"","ls -d -- */","ls -d -- File",y,y
"","ls -d -- */","ls -d -- File",y,y
"","ls -d -- [file]","ls -d -- File",wrong utility,
"","find . -mindepth 1 -maxdepth 1 -type d -printf ""%P\n""","find Path -mindepth Quantity -maxdepth Quantity -type d -printf ""%P\n""",exta flag,
"display all file in current folder which are bigger than 1 mb","find . -size __SP__UNK ","find Path -size Size",y,
"","find . -size +1M","find Path -size +Size",y,y
"","find . -size __SP__UNK","find Path -size Size",y,
"","find . -size +1000k ","find Path -size +Size",y,y
"","find . -size +1000k ","find Path -size +Size",y,y
"","find . -size __SP__UNK","find Path -size Size",y,
"","find . -size +1M","find Path -size +Size",y,y
"","find . -size +1000k ","find Path -size +Size",y,y
"find all html file in current folder which been modifi in last 7 day","find . -mtime -7 -name ""*.html"" ","find Path -mtime -Timespan -name Regex",y,y
"","find . -mtime -7 -name ""*.html"" ","find Path -mtime -Timespan -name Regex",y,y
"","find . -mtime -7 -name ""*.html"" ","find Path -mtime -Timespan -name Regex",y,y
"","find . -mtime -7 -name ""*.html"" ","find Path -mtime -Timespan -name Regex",y,y
"","find . -mtime -7 -name ""*.html"" ","find Path -mtime -Timespan -name Regex",y,y
"","find . -mtime -7 -name ""*.html"" ","find Path -mtime -Timespan -name Regex",y,y
"","find . -mtime -7 -name ""*.html""","find Path -mtime -Timespan -name Regex",y,y
"","find . -mtime -7 -name ""*.html"" ","find Path -mtime -Timespan -name Regex",y,y
"search for a pattern in all java file in current folder and display onli match file name","find . -name '*.java' -exec grep __SP__UNK {} \; ","find Path -name Regex -exec grep Regex {} \;",y,y
"","find . -name ""*.java"" -exec grep -l '.*' {} \;","find Path -name Regex -exec grep -l Regex {} \;",y,y
"","find . -name '*.java' -exec grep -l __SP__UNK {} \;","find Path -name Regex -exec grep -l Regex {} \;",y,y
"","find . -name '*.java' -exec grep -i -l 'foo' {} \;","find Path -name Regex -exec grep -i -l Regex {} \;",y,y
"","find . -name ""*.java"" -exec grep -l string {} \;","find Path -name Regex -exec grep -l Regex {} \;",y,y
"","find . -name '*.pl' | xargs -I {} grep -l thing {}","find Path -name Regex | xargs -I {} grep -l Regex {}",y,
"","find . -name ""*.java"" -exec grep -l '.*' {} \;","find Path -name Regex -exec grep -l Regex {} \;",y,y
"","find . -name ""*.java"" -exec grep -i -l string {} \;","find Path -name Regex -exec grep -i -l Regex {} \;",y,
"search for "" 840"" in histori","history | grep __SP__UNK","history | grep Regex",y,
"","history | grep "" 840""","history | grep Regex",y,y
"","history | grep "" 840""","history | grep Regex",y,y
"","history | grep __SP__UNK","history | grep Regex",y,
"","history | grep 840","history | grep Regex",y,y
"","history | grep __SP__UNK","history | grep Regex",y,
"","history | grep "" 840""","history | grep Regex",y,y
"","history | grep __SP__UNK","history | grep Regex",y,
"print newlin word and byte count for all .h .c .cpp .php and .cc file under current directori tree and also show total count","find . -name '*.[ch]' | xargs -I {} wc -l {}","find Path -name Regex | xargs -I {} wc -l {}",extra flag,
"","find . -name "".cc"" | tr "".cpp"" ""*.php"" | xargs -0 -I {} echo ""*.c"" ""*.h"" {}","find Path -name Regex | tr Regex Regex | xargs -0 -I {} echo Regex Regex {}",wrong utility,
"","find . -name '*.[ch]' | xargs -I {} grep -E 'expr' {}","find Path -name Regex | xargs -I {} grep -E Regex {}",missing utility,
"","find . -name \*.php -type f | xargs -0 -I {} wc -l {}","find Path -name Regex -type f | xargs -0 -I {} wc -l {}",extra flag,
"","find . -name '*.h' -exec echo {} \; | wc -l","find Path -name Regex -exec echo {} \; | wc -l",extra flag,
"","find . -name ""*.rb"" | xargs -I {} wc -l {}","find Path -name Regex | xargs -I {} wc -l {}",extra flag,
"","
","",,
"","find . -name '*.[ch]' | xargs -I {} wc -l {}","find Path -name Regex | xargs -I {} wc -l {}",extra flag,
"find all file end with ""mkv"" in current folder","find . -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""*.mkv""","find Path -name Regex",y,y
"","find . -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""*.mkv""","find Path -name Regex",y,y
"","find . -name ""*mkv*""","find Path -name Regex",y,
"","find . -type f -name __SP__UNK","find Path -type f -name Regex",y,
"","find . -name ""*.mkv""","find Path -name Regex",y,y
"","find . -name '*__SP__UNK'","find Path -name Regex",y,
"find all regular file with specif name in current folder which exclud hidden file","find . -type f -name __SP__UNK ! -path __SP__UNK","find Path -type f -name Regex ! -path Regex",y,
"","find . -type f -name ""*"" ! -path Regex ! -path Regex","find Path -type f -name Regex ! -path Regex ! -path Regex",counting error,
"","find . -type f -name __SP__UNK ! -path __SP__UNK ! -path __SP__UNK","find Path -type f -name Regex ! -path Regex ! -path Regex",counting error,
"","find . -type f -name ""*.!"" -not -path ""./.*""","find Path -type f -name Regex -not -path Regex",y,y
"","find . -type f -not -path '*/\.*'","find Path -type f -not -path Regex",missing flag,
"","find . -name __SP__UNK -prune -or -type f ","find Path -name Regex -prune -or -type f",y,
"","find . -name ""*"" -prune -or -type f ","find Path -name Regex -prune -or -type f",y,
"","find . -type f -not -path '*/\.*'","find Path -type f -not -path Regex",missing flag,
"find all file and directori under $dir directori","find /var/log","find Path",y,
"","find ""$dir""","find Path",y,y
"","find $dir","find Path",y,y
"","find $dir","find Path",y,y
"","find $dir","find Path",y,y
"","find $dir","find Path",y,y
"","find ""$dir""","find Path",y,y
"","find $dir","find Path",y,y
"send an audibl ping to ""10.100.3.104""","ping -c 1 __SP__UNK | grep __SP__UNK","ping -c Quantity Regex | grep Regex",extra utility,
"","ping -c [quantity] ""10.100.3.104""","ping -c Quantity Regex",wrong flag,
"","ping -c __SP__UNK __SP__UNK","ping -c Quantity Regex",rare flag,
"","ping -c 10 10.3.4","ping -c Quantity Regex",rare flag,
"","ping -c audible 10.100.3.104.104","ping -c Quantity Regex",rare flag,
"","ping -c 1 __SP__UNK","ping -c Quantity Regex",rare flag,
"","ping -c [quantity] ""10.100.3.104""","ping -c Quantity Regex",wrong flag,
"","ping -c 5 10... | cut -d ' ' -f 1","ping -c Quantity Regex | cut -d Regex -f Number",rare flag,
"find all file in current folder which are modifi after a specif file is modifi","find . -newer __SP__UNK","find Path -newer File",y,y
"","find . -newer [file]","find Path -newer File",y,y
"","find . -newer __SP__UNK","find Path -newer File",y,y
"","find . -newer file","find Path -newer File",y,y
"","find . -newer __SP__UNK ","find Path -newer File",y,y
"","find . -newer __SP__UNK","find Path -newer File",y,y
"","find . -newer [file]","find Path -newer File",y,y
"","find . -newer file","find Path -newer File",y,y
"delet all directori empti directori in current folder","find . -type d -empty -exec rmdir {} \;","find Path -type d -empty -exec rmdir {} \;",y,y
"","find . -type d -empty -exec rmdir {} \;","find Path -type d -empty -exec rmdir {} \;",y,y
"","find . -type d -empty -exec rmdir {} \;","find Path -type d -empty -exec rmdir {} \;",y,y
"","find . -type d -empty -exec rmdir {} \;","find Path -type d -empty -exec rmdir {} \;",y,y
"","find . -type d -empty -exec rmdir -v -p --ignore-fail-on-non-empty {} +","find Path -type d -empty -exec rmdir -v -p --ignore-fail-on-non-empty {} +",y,y
"","find . -type d -empty -exec rmdir -v -p --ignore-fail-on-non-empty {} +","find Path -type d -empty -exec rmdir -v -p --ignore-fail-on-non-empty {} +",y,y
"","find . -type d -empty -delete","find Path -type d -empty -delete",y,y
"","find . -type d -empty -exec rmdir {} \;","find Path -type d -empty -exec rmdir {} \;",y,y
"display hardwar platform ie x86_64 even if current kernel use 32-bit address","uname -m","uname -m",y,y
"","ifconfig ""32-bit"" | grep ""x86_64"" | cut -d Regex -f [number] | grep -E -o '.*' | grep -E -o '.*'","ifconfig Regex | grep Regex | cut -d Regex -f Number | grep -E -o Regex | grep -E -o Regex",wrong utility,
"","uname -s -r -v -m","uname -s -r -v -m",y,y
"","uname -m | grep -o -P '[[:digit:]]{1,2}'","uname -m | grep -o -P Regex",extra utility,
"","uname -m","uname -m",y,y
"","uname -m | grep __SP__UNK","uname -m | grep Regex",extra utility,
"","echo ""32-bit"" | rev | cut -d ""x86_64"" -f [number] | rev","echo Regex | rev | cut -d Regex -f Number | rev",wrong utility,
"","uname -m -r","uname -m -r",y,y
"find all *.mp4 file under /working","find __SP__UNK -type f -name __SP__UNK","find Path -type f -name Regex",y,
"","find ""/working"" -name ""*.mp4""","find Path -name Regex",y,y
"","find /working -type f -name '*.mp3'","find Path -type f -name Regex",y,
"","find /__SP__UNK -name *.mp4","find Path -name Regex",y,
"","find /working -type f -name ""*.mp4"" ","find Path -type f -name Regex",y,y
"","find __SP__UNK -type f -name __SP__UNK","find Path -type f -name Regex",y,
"","find ""*.mp4"" -name ""/working""","find Path -name Regex",y,
"","find /__SP__UNK -type f -name ""*.mp4"" ","find Path -type f -name Regex",y,
"show all valu of variabl whose name or valu contain ""VARIABLE_NAME""","env | grep __SP__UNK","env | grep Regex",y,
"","env | grep ""VARIABLE_NAME""","env | grep Regex",y,y
"","env | grep __SP__UNK","env | grep Regex",y,
"","env | grep ""__SP__UNK_NAME"" | grep ""__SP__UNK_NAME""","env | grep Regex | grep Regex",extra utility,
"","env | grep VARIABLE_NAME","env | grep Regex",y,y
"","env | grep __SP__UNK","env | grep Regex",y,
"","env | grep ""VARIABLE_NAME""","env | grep Regex",y,y
"","env | grep '^__SP__UNK_line'","env | grep Regex",y,
"find all file start from current directori which are smaller than 100mb","find . -size +100M","find Path -size +Size",y,
"","find . -size -100M","find Path -size -Size",y,y
"","find . -size __SP__UNK","find Path -size Size",y,
"","find . -size -100M","find Path -size -Size",y,y
"","find . -size -100M","find Path -size -Size",y,y
"","find . -size __SP__UNK","find Path -size Size",y,
"","find . -size -100M","find Path -size -Size",y,y
"","find . -size -100M","find Path -size -Size",y,y
"print a hex dump of ""$DIREC"" as charact","od -t __SP__UNK __SP__UNK","od -t __SP__UNK File",y,
"","od -t c ""$DIREC""","od -t c File",y,y
"","od -t __SP__UNK __SP__UNK","od -t __SP__UNK File",y,
"","od -t $__SP__UNK","od -t $__SP__UNK",y,
"","echo $DIREC | od -t x1 -t c","echo Regex | od -t x1 -t c",extra flag,
"","od -t __SP__UNK __SP__UNK","od -t __SP__UNK File",y,
"","od -t c ""$DIREC""","od -t c File",y,y
"","echo ""$__SP__UNK"" | od -t x1","echo Regex | od -t x1",wrong option,
"search for file specifi maximum depth of search","find . -mindepth __SP__UNK -name __SP__UNK","find Path -mindepth Quantity -name Regex",wrong flag,
"","find . -mindepth [quantity] -maxdepth [quantity] -name ""*""","find Path -mindepth Quantity -maxdepth Quantity -name Regex",extra flag,
"","find / -name __SP__UNK","find Path -name Regex",wrong flag,
"","find . -mindepth __SP__UNK -name query","find Path -mindepth Quantity -name Regex",wrong flag,
"","find . -mindepth __SP__UNK -name query","find Path -mindepth Quantity -name Regex",wrong flag,
"","find . -mindepth __SP__UNK -name __SP__UNK","find Path -mindepth Quantity -name Regex",wrong flag,
"","find . -mindepth [quantity] -name ""*""","find Path -mindepth Quantity -name Regex",wrong flag,
"","find . -mindepth __SP__UNK -name query","find Path -mindepth Quantity -name Regex",wrong flag,
"forc decompress of all file into ""/etc""","find | xargs -I {} tar -c -v -f __SP__UNK {}","find | xargs -I {} tar -c -v -f File {}",wrong utility,
"","find ""/etc"" | xargs -I {} tar -c -v -f [file] {}","find Path | xargs -I {} tar -c -v -f File {}",wrong utility,
"","zcat __SP__UNK","zcat Regex",wrong utility,
"","find /etc | xargs -0 -I {} mv {} /etc","find Path | xargs -0 -I {} mv {} File",wrong utility,
"","find /etc | xargs -0 -I {} tar -c -v -f /etc/etc {}","find Path | xargs -0 -I {} tar -c -v -f File {}",wrong utility,
"","find . -name __SP__UNK | xargs -I {} rm {}","find Path -name Regex | xargs -I {} rm {}",wrong utility,
"","gzip -d -c ""/etc"" | md5sum","gzip -d -c Regex | md5sum",wrong utility,
"","find /etc | xargs -0 -I {} file {}","find Path | xargs -0 -I {} file {}",wrong utility,
"renam file ""edited_blah.tmp"" to ""/etc/blah""","find ~/junk -name __SP__UNK -exec mv {} __SP__UNK \;","find Path -name Regex -exec mv {} File \;",y,
"","find ""edited_blah.tmp"" -name ""*"" -exec mv {} ""/etc/blah"" \;","find Path -name Regex -exec mv {} File \;",y,
"","mv __SP__UNK __SP__UNK","mv File File",y,
"","mv __SP__UNK_test.tmp /etc/blah","mv File File",y,
"","mv edited_blah.tmp /etc/blah","mv File File",y,y
"","mv __SP__UNK __SP__UNK","mv File File",y,
"","mv ""/etc/blah"" ""edited_blah.tmp""","mv File File",y,
"","mv __SP__UNK_file.tmp /etc/blah/blah","mv File File",y,
"find file 'Chapter1' on system","find / -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""Chapter1""","find Path -name Regex",y,y
"","find / -name 'Chapter1'","find Path -name Regex",y,y
"","find / -name __SP__UNK1","find Path -name Regex",y,
"","find / -name Chapter1 -type f","find Path -name Regex -type f",y,y
"","find / -name __SP__UNK","find Path -name Regex",y,
"","find . -name ""Chapter1""","find Path -name Regex",y,y
"","find / -name __SP__UNK1","find Path -name Regex",y,
"search for all jpg imag on system and archiv them","find / -type f -iname '*.jpg' | xargs -0 -I {} tar -c -v -f __SP__UNK {}","find Path -type f -iname Regex | xargs -0 -I {} tar -c -v -f File {}",y,y
"","find . -name ""*.jpg"" | xargs -I {} tar -c -v -f [file] {}","find Path -name Regex | xargs -I {} tar -c -v -f File {}",y,y
"","find / -type f -iname ""*.jpg"" -exec tar -r -v -f __SP__UNK {} \;","find Path -type f -iname Regex -exec tar -r -v -f File {} \;",y,y
"","find / -type f -iname ""*.jpg"" | xargs -I {} tar -c -v -f music.tar {","find Path -type f -iname Regex | xargs -I {} tar -c -v -f File File",y,y
"","find / -type f -iname ""*.jpg"" -exec tar -c -v -f __SP__UNK.tar {} \;","find Path -type f -iname Regex -exec tar -c -v -f File {} \;",y,y
"","find / -type f -iname *.mp3 -exec tar -c -v -f __SP__UNK {} \;","find Path -type f -iname Regex -exec tar -c -v -f File {} \;",y,
"","find . -name ""*"" | xargs -0 -I {} tar -r -v -f ""*.jpg"" {}","find Path -name Regex | xargs -0 -I {} tar -r -v -f File {}",y,
"","find / -iname '*.jpg' -exec tar -c -v -f __SP__UNK.jpg {} +","find Path -iname Regex -exec tar -c -v -f File {} +",y,y
"find all file with pattern '*.mp3' and send output into nameoffiletoprintto file","find . -name __SP__UNK | xargs -0 -I {} grep __SP__UNK {}","find Path -name Regex | xargs -0 -I {} grep Regex {}",missing flag,
"","find ""*.mp3"" -type f \( -iname Regex -or -iname Regex \)","find Path -type f \( -iname Regex -or -iname Regex \)",missing flag,
"","find . -type f -name '*.mp3' -exec ls -l {} \;","find Path -type f -name Regex -exec ls -l {} \;",missing flag,
"","find / -name *.mp3 | xargs -0 -I {} rm {}","find Path -name Regex | xargs -0 -I {} rm {}",extra utility,
"","find / -name *.mp3 -maxdepth 1 | xargs -0 -I {} ls -l {}","find Path -name Regex -maxdepth Quantity | xargs -0 -I {} ls -l {}",missing flag,
"","find . -name __SP__UNK | xargs -n 1 -I {} echo __SP__UNK {}","find Path -name Regex | xargs -n Quantity -I {} echo Regex {}",missing flag,
"","find . -type f -name ""*.mp3"" -exec grep -l '.*' {} \;","find Path -type f -name Regex -exec grep -l Regex {} \;",missing flag,
"","find / -type f -name *.mp3 | xargs -0 -n 1 -I {} echo {}","find Path -type f -name Regex | xargs -0 -n Quantity -I {} echo {}",missing flag,
"recurs find string like ""texthere"" in all ""*.txt"" file of a current folder","grep -R __SP__UNK *","grep -R Regex File",y,
"","grep ""texthere"" ""*.txt""","grep Regex File",y,extra quotes
"","grep -r ""texthere"" .","grep -r Regex File",missing argument,
"","grep -R ""texthere"" *","grep -R Regex File",missing argument,
"","grep -r ""texthere.txt"" .","grep -r Regex File",missing argument,
"","grep __SP__UNK __SP__UNK","grep Regex File",y,
"","grep ""*.txt"" ""texthere""","grep Regex File",y,
"","grep -R ""texthere"" *","grep -R Regex File",missing argument,
"archiv ""_vimrc"" to ""~/.vimrc"" suppress non-error messag and compress data dure transmiss","rsync -a -q -z __SP__UNK __SP__UNK","rsync -a -q -z File File",y,
"","rsync -a -v -z ""~/.vimrc"" ""_vimrc""","rsync -a -v -z File File",y,
"","rsync -a -q -z __SP__UNK __SP__UNK","rsync -a -q -z File File",y,
"","rsync -a -v -z ___SP__UNK ~/.__SP__UNK ~/.__SP__UNK","rsync -a -v -z File File File",extra argument,
"","rsync -a -v -z _vimrc ~/.vimrc","rsync -a -v -z File File",y,y
"","rsync -a -q -z __SP__UNK __SP__UNK","rsync -a -q -z File File",y,
"","rsync -a -v -z ""_vimrc"" ""~/.vimrc""","rsync -a -v -z File File",y,y
"","rsync -a -v -z ssh___SP__UNK/.__SP__UNK ~/.__SP__UNK","rsync -a -v -z File File",y,
"find all file in current folder and display ad quotat to each file","find . -exec echo {} \;","find Path -exec echo {} \;",y,missing string in argument
"","find . -exec echo {} \;","find Path -exec echo {} \;",y,missing string in argument
"","find . -exec echo {} \;","find Path -exec echo {} \;",y,missing string in argument
"","find . -exec echo {} \;","find Path -exec echo {} \;",y,missing string in argument
"","find . -exec echo {} +","find Path -exec echo {} +",y,missing string in argument
"","find . | xargs -n 1 -I {} echo {}","find Path | xargs -n Quantity -I {} echo {}",y,missing string in argument
"","find . -exec echo {} \;","find Path -exec echo {} \;",y,missing string in argument
"","find ./ | xargs -0 -L 1 -I {} echo {}","find Path | xargs -0 -L Quantity -I {} echo {}",y,missing string in argument
"print path to folder that contain file ""/path/to/vm.vmwarevm/vm.vmx""","dirname $(readlink -f __SP__UNK)","dirname $( readlink -f File )",y,
"","$(dirname ""/path/to/vm.vmwarevm/vm.vmx"")","$( dirname Regex )",y,y
"","dirname __SP__UNK","dirname Regex",y,
"","dirname /path/to/__SP__UNK.__SP__UNK","dirname Regex",y,
"","dirname $(dirname /path/to/vm.vmwarevm/vm.vmx)","dirname $( dirname Regex )",extra utility,
"","dirname $(readlink -f __SP__UNK)","dirname $( readlink -f File )",y,
"","dirname $(which ""/path/to/vm.vmwarevm/vm.vmx"")","dirname $( which Regex )",extra utility,
"","dirname $(dirname /path/to/__SP__UNK/__SP__UNK.__SP__UNK.__SP__UNK)","dirname $( dirname Regex )",extra utility,
"search for all .o file in current directori which permiss 664 and print them","find . -perm __SP__UNK -type f -exec ls -l {} \;","find Path -perm Permission -type f -exec ls -l {} \;",missing flag,
"","find . -type f -name ""*.o"" -perm 664 -exec ls -l {} \;","find Path -type f -name Regex -perm Permission -exec ls -l {} \;",y,y
"","find . -perm __SP__UNK","find Path -perm Permission",missing flag,
"","find . -perm 664 -name ""*.o"" | xargs -0 -I {} chmod 664 {}","find Path -perm Permission -name Regex | xargs -0 -I {} chmod Permission {}",extra utility,
"","find . -perm -644 | xargs -I {} chmod 664 {}","find Path -perm -Permission | xargs -I {} chmod Permission {}",extra utility,
"","find . -perm 755 -exec ls -l {} \;","find Path -perm Permission -exec ls -l {} \;",missing flag,
"","find . -name ""*.o"" -perm 664 ","find Path -name Regex -perm Permission",y,y
"","find . -perm 664 -name '*.o' -exec chmod 644 {} \;","find Path -perm Permission -name Regex -exec chmod Permission {} \;",extra utility,
"find all png file in current folder which begin with word imag","find . -name '*.png' | grep __SP__UNK","find Path -name Regex | grep Regex",extra utility,
"","find . -name ""*.png""","find Path -name Regex",y,
"","find . -name '*.png'","find Path -name Regex",y,
"","find . -name '*.png'","find Path -name Regex",y,
"","find . -name '*image'","find Path -name Regex",y,missing string in argument
"","find . -name __SP__UNK","find Path -name Regex",y,
"","find ""png"" -name ""*""","find Path -name Regex",y,
"","find . -name '__SP__UNK*'","find Path -name Regex",y,
"search directori given as argument to bash script for file whose name is not ""ss""","find /home ! -name __SP__UNK","find Path ! -name Regex",y,
"","find . ! -name ""ss""","find Path ! -name Regex",y,
"","find __SP__UNK ! -name ""ss"" ","find Path ! -name Regex",y,
"","find $1 -type f ! -name '__SP__UNK*'","find Path -type f ! -name Regex",y,
"","find . -name ss -prune -or ","find Path -name Regex -prune -or",y,
"","find $1 -maxdepth 1 -name __SP__UNK","find Path -maxdepth Quantity -name Regex",logic error,
"","find . ! -name ""ss"" -type d","find Path ! -name Regex -type d",extra flag,
"","find / -type f ! -name ""__SP__UNK""","find Path -type f ! -name Regex",complex description,
